time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
0,0,[],0,[],0,[],4,"[0, 1, 2, 3]",0,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 1, 'finish_time': 152}]",0
1,0,[],0,[],0,[],1,[3],3,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 1, 'finish_time': 152}]",0
61,0,[],0,[],1,[3],0,[],3,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 1, 'finish_time': 152}]",0
66,1,[3],0,[],0,[],0,[],3,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 1, 'finish_time': 152}]",0
152,0,[],1,[3],0,[],3,"[0, 1, 2]",0,"[{'job_id': 2, 'nodes': [0, 1, 2, 3], 'starting_time': 157, 'finish_time': 310}]",0
157,0,[],0,[],0,[],0,[],4,"[{'job_id': 2, 'nodes': [0, 1, 2, 3], 'starting_time': 157, 'finish_time': 310}]",0
310,0,[],0,[],0,[],0,[],4,"[{'job_id': 3, 'nodes': [0, 1, 2, 3], 'starting_time': 310, 'finish_time': 456}]",0
456,0,[],0,[],0,[],0,[],4,"[{'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 456, 'finish_time': 605}]",0
605,0,[],0,[],0,[],0,[],4,"[{'job_id': 5, 'nodes': [0, 1, 2, 3], 'starting_time': 605, 'finish_time': 755}]",0
755,0,[],0,[],0,[],2,"[2, 3]",2,"[{'job_id': 6, 'nodes': [0, 1], 'starting_time': 755, 'finish_time': 902}]",0
815,0,[],0,[],2,"[2, 3]",0,[],2,"[{'job_id': 6, 'nodes': [0, 1], 'starting_time': 755, 'finish_time': 902}]",0
820,2,"[2, 3]",0,[],0,[],0,[],2,"[{'job_id': 6, 'nodes': [0, 1], 'starting_time': 755, 'finish_time': 902}]",0
902,1,[3],1,[2],0,[],2,"[0, 1]",0,"[{'job_id': 7, 'nodes': [0, 1, 2], 'starting_time': 907, 'finish_time': 1056}]",0
907,1,[3],0,[],0,[],0,[],3,"[{'job_id': 7, 'nodes': [0, 1, 2], 'starting_time': 907, 'finish_time': 1056}]",0
1056,1,[3],0,[],0,[],0,[],3,"[{'job_id': 8, 'nodes': [0, 1, 2], 'starting_time': 1056, 'finish_time': 1207}]",0
1207,0,[],1,[3],0,[],3,"[0, 1, 2]",0,"[{'job_id': 9, 'nodes': [0, 1, 2, 3], 'starting_time': 1212, 'finish_time': 1363}]",0
